post_coef,scenario,draw
2.7183821833241556e-10,1,355
2.7183821848572853e-10,2,355
2.7183821034955355e-10,1,356
2.71838218331145e-10,2,356
2.7183821493073125e-10,1,357
2.718382149818179e-10,2,357
2.71838218472176e-10,1,358
2.718382222330023e-10,2,358
2.7183821563038046e-10,1,359
2.7183822624031516e-10,2,359
2.718382206774263e-10,1,360
2.718382091461315e-10,2,360
2.7183822066196793e-10,1,361
2.718382225623393e-10,2,361
2.718382266350325e-10,1,362
2.718382229123227e-10,2,362
2.718382308769735e-10,1,363
2.7183821931973834e-10,2,363
2.7183822039917596e-10,1,364
2.7183821802917777e-10,2,364
2.718382200187523e-10,1,365
2.7183822378616954e-10,2,365
2.718382170639837e-10,1,366
2.718382167087593e-10,2,366
2.718382215757047e-10,1,367
2.718382159880401e-10,2,367
2.718382078601237e-10,1,368
2.718382222678365e-10,2,368
2.71838230195112e-10,1,369
2.7183822440733586e-10,2,369
2.718382172998824e-10,1,370
2.7183821830107535e-10,2,370
2.71838224565731e-10,1,371
2.718382205906054e-10,2,371
2.718382202797443e-10,1,372
2.718382279513217e-10,2,372
2.718382170303936e-10,1,373
2.718382114546139e-10,2,373
2.7183822319819633e-10,1,374
2.718382184269127e-10,2,374
2.7183821387363413e-10,1,375
2.718382240583583e-10,2,375
2.718382199902708e-10,1,376
2.718382166746662e-10,2,376
2.7183822358751385e-10,1,377
2.718382216117036e-10,2,377
2.718382225646157e-10,1,378
2.718382144909094e-10,2,378
2.718382209065487e-10,1,379
2.718382219716926e-10,2,379
2.718382172490604e-10,1,380
2.718382252543688e-10,2,380
2.7183822055227716e-10,1,381
2.7183821733461075e-10,2,381
2.7183822380308373e-10,1,382
2.7183821523248674e-10,2,382
2.718382281334338e-10,1,383
2.718382191942716e-10,2,383
2.718382351337376e-10,1,384
2.718382115296822e-10,2,384
2.7183821370930974e-10,1,385
2.7183822447679256e-10,2,385
2.7183824064665153e-10,1,386
2.718382231593387e-10,2,386
2.718382130299893e-10,1,387
2.7183821401847676e-10,2,387
2.718382303543542e-10,1,388
2.7183822804449534e-10,2,388
2.7183821490341444e-10,1,389
2.718382190180093e-10,2,389
2.718382301265023e-10,1,390
2.7183820818140067e-10,2,390
2.718382164744488e-10,1,391
2.7183821847439946e-10,2,391
2.718382125488746e-10,1,392
2.718382258651325e-10,2,392
2.718382051940875e-10,1,393
2.718382318455557e-10,2,393
2.718382057391532e-10,1,394
2.718382231228104e-10,2,394
2.7183821353736205e-10,1,395
2.718382148066409e-10,2,395
2.718382140218649e-10,1,396
2.718382189710784e-10,2,396
2.7183822654927043e-10,1,397
2.71838217081917e-10,2,397
2.718382167552402e-10,1,398
2.7183821234177504e-10,2,398
2.718382216477025e-10,1,399
2.718382114257089e-10,2,399
2.7183822478807717e-10,1,400
2.7183821982414646e-10,2,400
2.7183824150554294e-10,1,401
2.718382280487305e-10,2,401
2.7183821753786557e-10,1,402
2.7183822474953717e-10,2,402
2.7183821964870476e-10,1,403
2.718382123133465e-10,2,403
2.718382192840571e-10,1,404
2.718382158472209e-10,2,404
2.7183822729148305e-10,1,405
2.718382242768928e-10,2,405
2.718382006590731e-10,1,406
2.718382314139924e-10,2,406
2.7183821176367506e-10,1,407
2.718382111205653e-10,2,407
2.718382386044551e-10,1,408
2.7183822114011803e-10,2,408
2.718382240056305e-10,1,409
2.7183822352872447e-10,2,409
2.7183822646732e-10,1,410
2.7183821617184627e-10,2,410
2.718382163173242e-10,1,411
2.7183820336195525e-10,2,411
2.718382136754284e-10,1,412
2.7183822199583306e-10,2,412
2.718382227410103e-10,1,413
2.718382213522998e-10,2,413
2.7183821237015065e-10,1,414
2.7183821973086696e-10,2,414
2.718382131608559e-10,1,415
2.718382202251107e-10,2,415
2.7183823440317167e-10,1,416
2.7183822440288894e-10,2,416
2.7183823425663497e-10,1,417
2.718382327451047e-10,2,417
2.7183821793092195e-10,1,418
2.7183821395410226e-10,2,418
2.7183820949870896e-10,1,419
2.718382255288075e-10,2,419
2.718382217491347e-10,1,420
2.7183822247933006e-10,2,420
2.7183823564915714e-10,1,421
