term,coef,scenario,draw
post_g1,-0.02099157490981766,1,43
post_g2,0.01319741594587015,1,43
post_g3,0.0005816554789614986,1,43
post_g4,0.02364439520785187,1,43
post_g5,-0.009421418626473577,1,43
post_g6,0.02318735852999039,1,43
post_g1,-0.021102775731305527,2,43
post_g2,0.02177192141782263,2,43
post_g3,0.007687298095235417,2,43
post_g4,0.023341220269331824,2,43
post_g5,-0.009071915007271971,2,43
post_g6,-0.01680757887071954,2,43
post_g1,-0.015835634326929603,1,44
post_g2,-0.013242945071060273,1,44
post_g3,0.0020220521686129577,1,44
post_g4,0.02791243914736776,1,44
post_g5,0.009702819773506545,1,44
post_g6,0.018348027086278668,1,44
post_g1,-0.017616132359313575,2,44
post_g2,-0.004694142117670889,2,44
post_g3,0.007612554948114018,2,44
post_g4,0.027998046216073862,2,44
post_g5,0.010773402278506327,2,44
post_g6,-0.018509687889698777,2,44
post_g1,-0.02490655348872707,1,45
post_g2,-0.0026224297768970358,1,45
post_g3,-0.0015141150593386073,1,45
post_g4,0.018727790290665312,1,45
post_g5,0.003612812263147483,1,45
post_g6,0.036497194522317214,1,45
post_g1,-0.027524620492000544,2,45
post_g2,0.007073069971780643,2,45
post_g3,0.006638405825781998,2,45
post_g4,0.01885814943844296,2,45
post_g5,0.003525451601499655,2,45
post_g6,-0.002837644924241114,2,45
post_g1,-0.015122914217954326,1,46
post_g2,-0.0007247005462106625,1,46
post_g3,-0.0024339574893242886,1,46
post_g4,0.025774134133739433,1,46
post_g5,-0.0006174748288334324,1,46
post_g6,0.023055876215255088,1,46
post_g1,-0.014263553904344273,2,46
post_g2,0.0069953975577915104,2,46
post_g3,0.0055455319741927545,2,46
post_g4,0.025991121547605224,2,46
post_g5,-0.0013071069910139017,2,46
post_g6,-0.017227806825814845,2,46
post_g1,-0.014337280708574967,1,47
post_g2,0.004587928552796284,1,47
post_g3,0.0044080158395887175,1,47
post_g4,0.0242341924175227,1,47
post_g5,0.0006829959789673771,1,47
post_g6,0.008249545067393425,1,47
post_g1,-0.017520992371361205,2,47
post_g2,0.014381895995917934,2,47
post_g3,0.012131350909441702,2,47
post_g4,0.0243205229427352,2,47
post_g5,0.0013236641470822843,2,47
post_g6,-0.02928169683326714,2,47
post_g1,-0.012853799930484987,1,48
post_g2,-0.0016603508587763544,1,48
post_g3,-0.008382853598253737,1,48
post_g4,0.027630651060420376,1,48
post_g5,0.011563863901038966,1,48
post_g6,0.01732499477112361,1,48
post_g1,-0.00942739261781653,2,48
post_g2,0.003363582888832233,2,48
post_g3,-0.0025932616529970682,2,48
post_g4,0.027559265337218995,2,48
post_g5,0.009980925967697379,2,48
post_g6,-0.0225056557231425,2,48
post_g1,-0.013777695726042125,1,49
post_g2,-0.0014428540665998354,1,49
post_g3,-0.0009456519047798212,1,49
post_g4,0.025591986549223757,1,49
post_g5,-0.0021472692374516263,1,49
post_g6,0.027515228345571786,1,49
post_g1,-0.01693272762000618,2,49
post_g2,0.008597719420695671,2,49
post_g3,0.004448699418116225,2,49
post_g4,0.025828303344761307,2,49
post_g5,9.479812496178132e-05,2,49
post_g6,-0.01530194451600298,2,49
post_g1,-0.0041710755732097485,1,50
post_g2,-0.018200925799653697,1,50
post_g3,-0.005721940219007782,1,50
post_g4,0.02303726935879881,1,50
post_g5,0.0021883379317495276,1,50
post_g6,0.03314834230200982,1,50
post_g1,-0.0014133877203847088,2,50
post_g2,-0.010265593984612995,2,50
post_g3,2.2468087456153558e-05,2,50
post_g4,0.022453162983287825,2,50
post_g5,0.0014148082689899486,2,50
post_g6,-0.006412228235436615,2,50
post_g1,-0.0019424415890479595,1,51
post_g2,0.000740801166191025,1,51
post_g3,0.0018479566530827383,1,51
post_g4,0.020459819226822634,1,51
post_g5,-2.8076752112776607e-05,1,51
post_g6,0.006003741357768303,1,51
post_g1,-0.006572515831692963,2,51
post_g2,0.006897869312141012,2,51
post_g3,0.010380958351478436,2,51
post_g4,0.020797534737679736,2,51
post_g5,-0.00010248306983328407,2,51
post_g6,-0.026208575586445498,2,51
post_g1,-0.0031881709007626833,1,52
post_g2,0.01070016856142958,1,52
post_g3,-0.0007235604178919713,1,52
post_g4,0.02166533720236117,1,52
post_g5,-0.003539543165304951,1,52
post_g6,0.004904757906582187,1,52
post_g1,-0.004861445846869267,2,52
post_g2,0.01811244781926872,2,52
post_g3,0.006765585586309559,2,52
post_g4,0.021391196558859255,2,52
post_g5,-0.003501281133555953,2,52
post_g6,-0.032173756736254014,2,52
post_g1,-0.015802524930725596,1,53
post_g2,-0.02095370723476047,1,53
post_g3,0.0011002545136354553,1,53
post_g4,0.02531711331189658,1,53
post_g5,0.014114612729218021,1,53
post_g6,0.022142673008087484,1,53
post_g1,-0.015824271512026988,2,53
post_g2,-0.013877712489131383,2,53
post_g3,0.007778840446737698,2,53
post_g4,0.024895889498182687,2,53
post_g5,0.014479715021943985,2,53
post_g6,-0.012463012494138495,2,53
post_g1,-0.007643813315797401,1,54
post_g2,-0.010085096571874756,1,54
post_g3,-0.0031566680394018096,1,54
post_g4,0.02598552163268471,1,54
post_g5,-0.004957933400319365,1,54
post_g6,0.028806988514585616,1,54
post_g1,-0.01006323138140353,2,54
post_g2,-0.0008220976418826537,2,54
post_g3,0.002731328943220387,2,54
post_g4,0.02658395796493892,2,54
post_g5,-0.004860497100357962,2,54
post_g6,-0.008037216914126313,2,54
post_g1,-0.0017952110241562524,1,55
post_g2,-0.0003055918272628637,1,55
post_g3,-0.0016494653135205063,1,55
post_g4,0.02351922129322638,1,55
post_g5,0.007973528147846517,1,55
post_g6,0.0023649249948214596,1,55
post_g1,-0.0012756353516905157,2,55
post_g2,0.005651861669928869,2,55
post_g3,0.0029263015145233095,2,55
post_g4,0.023311620296638164,2,55
post_g5,0.008983454342429118,2,55
post_g6,-0.033810104389543044,2,55
post_g1,-0.009703580783508917,1,56
post_g2,0.003919827797639034,1,56
post_g3,-0.005704452428419796,1,56
post_g4,0.027060154600384884,1,56
post_g5,0.012213804519839746,1,56
post_g6,0.0050260862255664795,1,56
post_g1,-0.012932177247317232,2,56
post_g2,0.013558403018923283,2,56
post_g3,-0.00017130685722202695,2,56
post_g4,0.027093651990578727,2,56
post_g5,0.012434327269105691,2,56
post_g6,-0.033672428281778424,2,56
post_g1,-0.02043563794400747,1,57
post_g2,-0.0007388954404678075,1,57
post_g3,-0.002246417968417171,1,57
post_g4,0.019333744329800246,1,57
post_g5,0.010361744481455513,1,57
post_g6,0.017484235381644904,1,57
post_g1,-0.02077690639577857,2,57
post_g2,0.00544013500857048,2,57
post_g3,0.004232434948587393,2,57
post_g4,0.0197713533590859,2,57
post_g5,0.009973028956323198,2,57
post_g6,-0.014090507343450347,2,57
post_g1,-0.006904809982118099,1,58
post_g2,-0.012852174789791403,1,58
post_g3,-0.0005511782218220575,1,58
post_g4,0.0266274098577858,1,58
post_g5,0.01060608473669602,1,58
post_g6,0.014949418108407695,1,58
post_g1,-0.011105701130965713,2,58
post_g2,-0.003068594152584022,2,58
post_g3,0.005817743867048809,2,58
post_g4,0.02655945341545739,2,58
post_g5,0.011210617703385987,2,58
post_g6,-0.023267954155813148,2,58
post_g1,-0.014676474532266368,1,59
post_g2,0.01017302302233466,1,59
post_g3,-0.006369482690954591,1,59
post_g4,0.02243891109114628,1,59
post_g5,0.003366920876804404,1,59
post_g6,0.015647492066429444,1,59
post_g1,-0.016516224088606646,2,59
post_g2,0.021543670819643368,2,59
post_g3,-0.0018257494788735847,2,59
post_g4,0.02240865024933801,2,59
post_g5,0.002859947332128782,2,59
post_g6,-0.022594909305276537,2,59
post_g1,-0.009463781595709177,1,60
post_g2,-0.00355993355358184,1,60
post_g3,-0.005956255360251756,1,60
post_g4,0.023041086534319043,1,60
post_g5,0.0006932618165288547,1,60
post_g6,0.020987129540792147,1,60
post_g1,-0.008758076867607607,2,60
post_g2,0.004885093385917679,2,60
post_g3,-0.0004894771354529696,2,60
post_g4,0.023339039021179793,2,60
post_g5,-0.0003835736209392077,2,60
post_g6,-0.013652919167155986,2,60
post_g1,-0.005740617181419759,1,61
post_g2,-0.0014164355971221635,1,61
post_g3,-0.0018574856839548696,1,61
post_g4,0.02895527898742281,1,61
post_g5,0.0073122406354145745,1,61
post_g6,0.006842111232298009,1,61
post_g1,-0.004498748480716305,2,61
post_g2,0.005845885672861443,2,61
post_g3,0.0054180352935424315,2,61
post_g4,0.028788668136695124,2,61
post_g5,0.007812955018319462,2,61
post_g6,-0.03681199041849108,2,61
post_g1,-0.011165169991438104,1,62
post_g2,0.0009737830417290436,1,62
post_g3,-0.0071924124560868215,1,62
post_g4,0.022906884595434066,1,62
post_g5,0.011848310479988723,1,62
post_g6,0.0072649371492497,1,62
post_g1,-0.013769760187701121,2,62
post_g2,0.010551859866660313,2,62
post_g3,0.0012404329745211982,2,62
post_g4,0.0225314282457715,2,62
post_g5,0.01179456707980016,2,62
post_g6,-0.02757834143593631,2,62
post_g1,-0.015357654320385543,1,63
post_g2,0.010925035620786724,1,63
